"","name","artist","alias","track_preview","id","popularity","albumpopularity","ageweeks","ranking"
"2096","Earned It","Weeknd, The","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/88b3a2515b97ec8f62cbd03426901660.mp3",2098,83,72,56,84.1
"655","Energy","Drake","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/83cbd75c082491a0385fa9d41a7dece8.mp3",656,82,77,49,77.7403846153846
"2058","Fire And The Flood","Vance Joy","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/b7533d8f225144b7511ce25e57b77855.mp3",2060,72,77,71,71.5
"657","Jungle","Drake","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/269950a71a99af8d59f03b11022f3bd4.mp3",658,75,77,49,70.4846153846154
"247","Blessings {Ft. Drake & Kanye West}","Big Sean","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/7b9d590d19e36a2ace1aa8f7ac4e94cb.mp3",248,77,71,47,70.1384615384615
"1122","Paper Trail$","Joey Bada$$","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/ae855b63ada146f6f406618668cbcbba.mp3",1123,70,69,52,70.1
"658","No Tellin'","Drake","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/613171b2f938d29290b51efdfb04581e.mp3",659,74,77,49,69.4480769230769
"1155","Only One {Ft. Paul McCartney}","Kanye West","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/5cf29965b169e397ff914b55ceb824ab.mp3",1155,68,55,54,69.3
"1056","To U {Ft. AlunaGeorge}","Jack U","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/1bca86e4fda293a740a3b9c773df5f17.mp3",1057,77,86,47,68.7826923076923
"654","6 Man","Drake","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/d332a88a84da6d05baa34eb8e843ce37.mp3",655,73,77,49,68.4115384615385
"1160","Alright","Kendrick Lamar","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/e836816ac12b42cbb1c6c476cb16f75d.mp3",1160,78,73,44,66.4230769230769
"434","T-Shirt Weather","Circa Waves","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/95e47963a57f7073084d99060c0c69be.mp3",435,65,55,53,66
"1154","All Day {Ft. Theophilus London/Allan Kingdom/Paul McCartney}","Kanye West","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/784a9c287d4030bb6c239d962c308d1b.mp3",1154,73,59,46,65.8153846153846
"1163","King Kunta","Kendrick Lamar","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/33a44b8d4f8d53930dccf0e39116c290.mp3",1163,77,73,44,65.4923076923077
"1428","Lampshades On Fire","Modest Mouse","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/a67aa0d33b33e401875fb3b8e1acc0e1.mp3",1431,64,54,57,65
"2056","Young","Vallis Alps","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/5a8f11e1a99c0add5a8e460cfc73b676.mp3",2058,64,58,54,64.6
"1685","Begin Again","Purity Ring","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/86422a9079dd62bbc48d0cb15141b870.mp3",1687,63,48,53,64.5
"1212","Falling Short","Lapsley","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/694f0d52587da78157a580081f5b4454.mp3",1212,63,52,59,64.1
"950","Hurricane","Halsey","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/a98c41353efbd1bb6acdcef7986fcb32.mp3",951,70,61,46,62.7192307692308
"566","Black Sun","Death Cab For Cutie","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/77256549ae8f0816f8d1c4f1ad2fa1c7.mp3",567,62,50,51,61.9846153846154
"1900","All Eyes On You","St. Lucia","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/317dfbe2ff78407993d6b07deaebc082.mp3",1901,61,54,202,61.7
"1119","Like Me {Ft. BJ The Chicago Kid}","Joey Bada$$","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/663ecb9053f7ea369199ff81f7bbe81a.mp3",1120,62,69,52,61.3
"1689","Push Pull","Purity Ring","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/0ba55dfa0b0780fffc25d998986e1aca.mp3",1691,60,49,59,61.1
"1916","Know Me From","Stormzy","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/87168c155cbce2959a32573407138f95.mp3",1917,69,59,45,60.5769230769231
"1329","Forever","Majid Jordan","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/36df214112d7b69bb6f7a3287f4f234a.mp3",1330,60,63,79,59.7
"383","Hourglass {Single Version}","Catfish And The Bottlemen","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/43d9fd49d1dbf527c77e129a2a30ac86.mp3",384,60,66,70,59.4
"22","Baby Blue {Ft. Chance The Rapper}","Action Bronson","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/c548ec9babc1b058114a65ffa5d03f16.mp3",23,71,66,43,59.125
"1123","Teach Me {Ft. Kiesza}","Joey Bada$$","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/3a5dc854cc8bace55dbd9f7718db4c53.mp3",1124,60,69,52,59.1
"519","Sugah Daddy","D'Angelo And The Vanguard","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/7bdbd3548149ef65017cfac0d9c764fc.mp3",525,59,62,57,58.7
"1615","Lifted Up (1985)","Passion Pit","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/8236c8ed20fcbd25df20bab38b344f99.mp3",1616,62,49,48,58.4307692307692
"1686","Bodyache","Purity Ring","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/b02018e371d7f27260508833f9720fac.mp3",1688,66,66,46,58.3846153846154
"1928","Should Have Known Better","Sufjan Stevens","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/5505012d60ebcb9079d4cd50c060b1dd.mp3",1930,72,72,42,58.1538461538462
"1165","These Walls {Ft. Bilal/Anna Wise/Thundercat}","Kendrick Lamar","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/d5da96d426ed3d96f0e1641a0c59a071.mp3",1165,69,73,44,58.0461538461538
"1118","Hazeus View","Joey Bada$$","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/223b8676025e4556a81aa1895eea3eab.mp3",1119,59,69,52,58
"1006","Sedona","Houndmouth","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/08cc94e4b1575799c0cd69f91d0b7405.mp3",1007,67,53,44,57.8769230769231
"376","Adore {Ft. Ariana Grande}","Cashmere Cat","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/309e49bcda9c1ba3d070c4474f73138f.mp3",377,62,48,47,57.3038461538462
"1332","Lean On {Ft. MØ/DJ Snake}","Major Lazer","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/774a41e0777c48ede4765755ee87251a.mp3",1333,89,80,33,57.0519230769231
"1157","Drive Me Crazy {Ft. Vic Mensa}","Kaytranada","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/1d75fec1220a84f6a8f0b876025890cf.mp3",1157,57,46,51,56.9826923076923
"1121","On & On {Ft. Maverick Sabre/Dymeond Lewis}","Joey Bada$$","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/89f98f539d282c2b359c49cafa0c5d33.mp3",1122,58,69,52,56.9
"752","I Love You, Honeybear","Father John Misty","","http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/3e9d1cdaa6196dfcab0dfcb5f5ae038b.mp3",753,60,61,49,56.4442307692308
